"";"mutant_DD";"mutant_LL";"WT_DD";"WT_LL"
"TrA0302C";6,73974467409581;7,22241832699795;6,78181067143254;6,94358031475297
"TrA0303W";3,97632561906922;4,94807525002366;3,92617207764641;4,79140845374223
"TrA0304W";6,14587183882343;10,7094436472245;6,01732266662636;10,6381241155377
"TrA0305C";4,73325812704456;5,65142090156034;4,79542257564035;5,89782710936607
"TrA0306W";5,38408377287626;5,93150547370986;5,57287945500429;6,02215885748786
"TrA0307C";7,94822213260007;8,30030796384664;7,75397702001471;8,15704992034324
"TrA0308W";2,52972678545135;2,15240601673386;2,19230870279675;2,03165200297566
"TrA0309C";6,46578952646935;6,45024693812945;6,3166379339194;6,27252250694701
"TrA0310C";6,40765033184068;6,25251073118366;6,26898133965426;6,55398787104484
"TrA0311W";-4,86508699255889;-4,43177961523502;-4,91812421968957;-4,89930685457746
"TrA0312C";7,24659370142241;6,83426997435002;7,36590921474497;7,00384202378201
"TrA0313W";5,32984083794014;6,10596882828315;5,15458743264231;6,23801633389104
"TrA0314W";3,12165285207414;4,00192996579557;2,52180160896448;3,69435694791825
"TrA0315W";8,21574756800877;8,251262439074;8,04990723853874;8,25367785440445
"TrA0316W";1,56946266001405;1,2699036408553;1,71909205646149;1,32380971538843
"TrA0317C";7,64191971868345;7,73989112703593;7,53932974041204;7,91409767404632
"TrA0318W";4,78075223051022;4,91605380909308;4,4763099460776;4,87673119145598
"TrA0319C";3,62463448420925;4,00410773782692;3,24504379361919;3,84455183585822
"TrA0320W";7,37978160945846;7,1227008616381;7,45200253399894;7,0648164104424
"TrA0321C";2,23718669143265;1,92986927686727;3,41258595586534;1,9739730780183
"TrA0322C";9,61430015847917;9,6509929766311;9,5493741869585;9,69158186362525
"TrA0323W";5,44453621207741;6,00232622391033;5,14458035982463;6,25222762621076
"TrA0324C";4,43332739802697;4,30643491293848;4,44066680659056;4,1811909978895
"TrA0325W";3,51402592089877;3,95719948938555;2,94625420187208;3,77533224891365
"TrA0326W";4,73973651904305;5,56902523284335;4,59272939101204;5,68415107452623
"TrA0327C";-2,01054774812601;-4,96862819080281;-3,46783888692742;-4,89930685457746
"TrA0328C";4,8195959480797;4,84711631592519;4,80131777506167;4,73022360077965
"TrA0329W";4,23415490404574;4,28045031389215;4,13746575074745;4,08205235134059
"TrA0330C";6,13856549212868;5,58231582082838;6,60986681270108;4,09446716540824
"TrA0331W";-4,86508699255889;-4,96862819080281;-4,91812421968957;-4,38909364259569
"TrA0332W";7,46550690881759;7,43409282629836;7,38120680659146;7,59821528642733
"TrA0333C";4,91975272349365;5,13197764096842;4,91340365076547;5,28875302067573
"TrA0334C";-2,06268725237772;-1,51804000196296;-1,48377717330322;-1,3801491408087
"TrA0335C";7,41345628422568;7,31610608956024;7,4209065775187;7,28312379577671
